2026-09-01 05:25:24.592 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/ttuser/.cache/ttnn,model_cache_path=/home/ttuser/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,validate_program_args=false,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
  model size: 1024 (tt-tnt-1024.yaml)
  model impl: python (ttml's Python Llama via train.model; SDPA causal, mask dropped)
  seq_len: 512 (explicit; equals the size's max_sequence_length)
  checkpoints: artifacts/checkpoints-winpurity-v4-s5489
  ddp: 4 chips, mesh [1, 4], 16 sequences/chip (effective batch stays 64; step budget and LR unchanged)
  optimizer overridden from train/configs/nanollama3_bpe_v2.yaml: {'type': 'AdamW', 'lr': 0.0003, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'stochastic_rounding': True}
  stochastic_rounding: True
  lr schedule: constant at 3.000e-04 (set_lr never called)
  seed: 5489
tt-tnt training — steps=10719 batch=64 seq_len=512 arch=blackhole
  mesh graph descriptor: /home/ttuser/code/tt-tnt/train/configs/mesh/mesh-1x4.textproto
  train tokens=352,641,058  val tokens=39,182,335
  parallelism context: DDP over 4 devices on mesh axis 1 (gradients will be all-reduced and divided by 4)
note: the progress bar's val_loss is ttml's placeholder (a copy of train_loss); the real validation loss is computed after training and printed below.
  run manifest: artifacts/checkpoints-winpurity-v4-s5489/run_manifest.json

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:00<01:57,  4.26it/s, train_loss=10.6250, val_loss=10.6250]
  0%|          | 2/500 [00:00<01:38,  5.06it/s, train_loss=9.7188, val_loss=10.6250] 
  1%|          | 3/500 [00:00<01:34,  5.28it/s, train_loss=8.9688, val_loss=10.6250]
  1%|          | 4/500 [00:00<01:31,  5.39it/s, train_loss=8.6875, val_loss=10.6250]
  1%|          | 5/500 [00:00<01:30,  5.46it/s, train_loss=8.3750, val_loss=10.6250]
  1%|          | 6/500 [00:01<01:29,  5.51it/s, train_loss=8.2656, val_loss=10.6250]
  1%|▏         | 7/500 [00:01<01:29,  5.50it/s, train_loss=8.1250, val_loss=10.6250]
  2%|▏         | 8/500 [00:01<01:28,  5.53it/s, train_loss=7.8828, val_loss=10.6250]
  2%|▏         | 9/500 [00:01<01:28,  5.55it/s, train_loss=7.8594, val_loss=10.6250]
  2%|▏         | 10/500 [00:01<01:28,  5.55it/s, train_loss=7.5469, val_loss=7.5469]
  2%|▏         | 11/500 [00:02<01:28,  5.55it/s, train_loss=7.5469, val_loss=7.5469]
  2%|▏         | 12/500 [00:02<01:27,  5.56it/s, train_loss=7.3750, val_loss=7.5469]
  3%|▎         | 13/500 [00:02<01:27,  5.57it/s, train_loss=7.2812, val_loss=7.5469]
  3%|▎         | 14/500 [00:02<01:27,  5.56it/s, train_loss=7.2891, val_loss=7.5469]
  3%|▎         | 15/500 [00:02<01:27,  5.56it/s, train_loss=7.2578, val_loss=7.5469]
  3%|▎         | 16/500 [00:02<01:26,  5.57it/s, train_loss=7.1406, val_loss=7.5469]
  3%|▎         | 17/500 [00:03<01:26,  5.57it/s, train_loss=7.3750, val_loss=7.5469]
 11%|█         | 53/500 [00:09<01:21,  5.50it/s, train_loss=6.9062, val_loss=6.8281]
 11%|█         | 54/500 [00:09<01:20,  5.52it/s, train_loss=7.0859, val_loss=6.8281]
 11%|█         | 55/500 [00:09<01:20,  5.53it/s, train_loss=7.0312, val_loss=6.8281]
 11%|█         | 56/500 [00:10<01:20,  5.54it/s, train_loss=6.8828, val_loss=6.8281]
 11%|█▏        | 57/500 [00:10<01:19,  5.54it/s, train_loss=6.9141, val_loss=6.8281]
 12%|█▏        | 58/500 [00:10<01:19,  5.54it/s, train_loss=6.8594, val_loss=6.8281]
 12%|█▏        | 59/500 [00:10<01:19,  5.54it/s, train_loss=6.8984, val_loss=6.8281]
 12%|█▏        | 60/500 [00:10<01:19,  5.55it/s, train_loss=6.7031, val_loss=6.7031]
 12%|█▏        | 61/500 [00:11<01:19,  5.54it/s, train_loss=6.8047, val_loss=6.7031]
 12%|█▏        | 62/500 [00:11<01:19,  5.53it/s, train_loss=6.9375, val_loss=6.7031]
 13%|█▎        | 63/500 [00:11<01:19,  5.53it/s, train_loss=6.7500, val_loss=6.7031]
 13%|█▎        | 64/500 [00:11<01:18,  5.53it/s, train_loss=6.6406, val_loss=6.7031]
 13%|█▎        | 65/500 [00:11<01:18,  5.52it/s, train_loss=6.7969, val_loss=6.7031]
 13%|█▎        | 66/500 [00:11<01:19,  5.47it/s, train_loss=6.9922, val_loss=6.7031]
 13%|█▎        | 67/500 [00:12<01:19,  5.48it/s, train_loss=6.6641, val_loss=6.7031]
 14%|█▎        | 68/500 [00:12<01:18,  5.51it/s, train_loss=6.8906, val_loss=6.7031]
 14%|█▍        | 69/500 [00:12<01:18,  5.51it/s, train_loss=6.6250, val_loss=6.7031]
 14%|█▍        | 70/500 [00:12<01:17,  5.52it/s, train_loss=6.6797, val_loss=6.6797]
 14%|█▍        | 71/500 [00:12<01:17,  5.53it/s, train_loss=6.4453, val_loss=6.6797]
 14%|█▍        | 72/500 [00:13<01:17,  5.51it/s, train_loss=6.5000, val_loss=6.6797]
 15%|█▍        | 73/500 [00:13<01:17,  5.52it/s, train_loss=6.7656, val_loss=6.6797]
 15%|█▍        | 74/500 [00:13<01:17,  5.49it/s, train_loss=6.6641, val_loss=6.6797]
 15%|█▌        | 75/500 [00:13<01:17,  5.51it/s, train_loss=6.4062, val_loss=6.6797]
 15%|█▌        | 76/500 [00:13<01:16,  5.52it/s, train_loss=6.6250, val_loss=6.6797]
 15%|█▌        | 77/500 [00:13<01:16,  5.53it/s, train_loss=6.3984, val_loss=6.6797]
 16%|█▌        | 78/500 [00:14<01:16,  5.51it/s, train_loss=6.3828, val_loss=6.6797]
 16%|█▌        | 79/500 [00:14<01:16,  5.52it/s, train_loss=6.4453, val_loss=6.6797]
 16%|█▌        | 80/500 [00:14<01:16,  5.53it/s, train_loss=6.4297, val_loss=6.4297]
 16%|█▌        | 81/500 [00:14<01:15,  5.52it/s, train_loss=6.3203, val_loss=6.4297]
 16%|█▋        | 82/500 [00:14<01:15,  5.50it/s, train_loss=6.5078, val_loss=6.4297]
 17%|█▋        | 83/500 [00:15<01:15,  5.50it/s, train_loss=6.4375, val_loss=6.4297]
 17%|█▋        | 84/500 [00:15<01:15,  5.52it/s, train_loss=6.2188, val_loss=6.4297]
 17%|█▋        | 85/500 [00:15<01:15,  5.52it/s, train_loss=6.4141, val_loss=6.4297]
 17%|█▋        | 86/500 [00:15<01:15,  5.50it/s, train_loss=6.5312, val_loss=6.4297]
